Name,playerid,WAR19,WAR20,WAR21,WAR22
Larry Christenson,1002215,0.0,0.0,2.9,2.4
Santiago Guzman,1005163,-0.1,-0.1,0.5,-0.1
Britt Burns,1001702,-0.1,-0.1,4.5,2.4
Catfish Hunter,1006199,0.3,1.8,5.2,1.4
Wade Blasingame,1001057,0.1,-0.3,0.7,0.6
Vida Blue,1001094,-1.1,1.5,8.8,2.1
Lloyd Allen,1000152,-0.2,0.4,1.0,-1.0
Wilbur Wood,1014248,0.0,0.2,0.2,0.0
Edwin Jackson,1841,0.2,-0.3,0.2,0.1
Don Gullett,1005134,0.9,2.6,1.0,2.5
Blue Moon Odom,1009726,-0.4,-0.1,1.3,-0.1
Chris Zachary,1014404,0.2,-0.1,0.1,0.7
Ray Sadecki,1011360,1.4,1.8,0.7,1.2
Felix Hernandez,4772,2.3,3.3,3.5,3.6
Bert Blyleven,1001098,3.6,7.5,5.9,10.8
Wally Bunker,1001652,2.6,1.7,1.2,0.5
Dave Boswell,1001222,0.2,-0.3,3.0,3.9
Larry Dierker,1003288,2.4,2.1,1.9,7.3
Billy McCool,1008409,2.1,1.5,1.9,0.6
Dave McNally,1008655,0.2,1.2,1.4,2.3
Ken Holtzman,1005989,-0.1,3.0,0.2,2.3
Dwight Gooden,1004852,8.3,8.9,4.8,4.5
Jose Rijo,349,0.6,1.3,1.7,0.8
Gary Nolan,1009616,5.3,2.3,1.7,3.2
Madison Bumgarner,5524,0.0,1.7,4.3,2.6
Bart Johnson,1006422,0.5,0.9,2.3,-0.4
Edwin Nunez,1009658,0.1,0.3,0.7,0.1
Fernando Valenzuela,1013327,0.6,4.9,6.1,4.2
Denny McLain,1008603,0.2,0.6,4.0,0.9
George Lauzerique,1007385,0.0,0.0,-0.8,-0.1
Frank Tanana,1012818,0.6,3.6,7.2,6.0
Bob Moose,1009134,0.1,3.6,3.8,3.2
Terry Forster,1004236,0.5,2.3,3.1,3.0
Sam McDowell,1008476,0.1,0.6,3.7,8.7
Aurelio Monteagudo,1009063,0.1,-0.8,-0.1,-0.2
Joe Coleman,1002428,0.3,1.7,2.5,2.8
