Name,playerid,WAR24,WAR25,WAR26,WAR27
Brad Radke,748,4.9,4.2,3.7,4.2
Esteban Loaiza,1310,-0.2,2.9,1.0,2.5
John Wasdin,1768,0.5,0.3,0.1,0.6
Phil Hughes,7450,3.1,0.5,1.9,1.0
Jerry Reuss,1010853,4.0,2.5,4.6,2.9
Pedro Astacio,862,1.5,1.0,2.6,3.0
Shawn Boskie,1001213,0.3,-0.8,0.0,0.2
Ernie McAnally,1008325,1.7,1.8,1.6,1.5
Casey Fossum,188,1.8,1.2,0.1,1.5
Jeff Weaver,503,4.0,4.1,2.2,4.3
Chris Tillman,5279,1.3,2.0,2.3,2.0
Andy Sonnanstine,7667,1.9,3.8,0.0,-0.1
Eric Rasmussen,1010704,0.9,2.5,1.2,1.6
Russ Ortiz,1124,0.4,1.7,1.1,4.4
Jeff D'Amico,871,3.3,-0.1,1.5,2.1
Bill Champion,1002127,0.7,0.9,1.8,0.0
Andy Ashby,637,-0.4,0.1,3.2,3.3
Wade LeBlanc,5221,0.2,0.3,0.9,0.6
Gerry Arrigo,1000326,0.4,0.0,0.4,2.5
Tom Burgmeier,1001668,-0.1,-0.1,0.5,0.6
Juan Marichal,1008106,1.7,6.7,6.4,6.8
John Montefusco,1009065,0.7,6.0,5.2,3.1
Tom Niedenfuer,1009578,0.3,2.8,-0.7,-0.5
Scott McGregor,1008546,3.5,2.8,4.9,2.4
Ryan Rupe,1223,1.8,0.3,0.3,1.1
Mike Leake,10130,1.2,2.3,2.4,1.6
Bob James,1006345,0.6,0.8,3.6,-0.4
Jamey Wright,715,1.0,1.8,0.8,-0.2
Jesus Colome,1198,-0.6,0.0,0.6,-0.3
Mike Maroth,1508,2.4,0.4,2.6,2.0
Zach Duke,3840,0.7,2.7,2.9,0.2
Stephen Strasburg,10131,3.2,4.5,3.4,3.9
Jack Aker,1000097,0.2,1.2,0.0,-0.7
Chuck McElroy,1008477,0.5,0.0,1.2,0.0
Rick Bauer,125,0.0,-0.6,0.5,0.6
John D'Acquisto,1002919,-0.9,-0.1,1.7,-1.0
Randy O'Neal,1009802,1.1,0.9,0.0,0.0
Jimmy Haynes,329,1.1,1.7,1.0,1.4
Roger Clemens,815,8.4,9.2,5.1,8.2
James Baldwin,1064,2.5,2.9,1.8,1.3
Jim Barr,1000606,1.9,2.5,3.3,2.7
Eddie Fisher,1004085,-0.4,2.2,1.0,0.4
Steve Hargan,1005356,4.2,0.4,0.7,1.8
Carl Pavano,790,1.8,0.4,0.8,3.3
Dillon Gee,7396,0.3,0.3,1.6,2.1
Jeff Juden,1006643,0.5,-0.1,1.1,0.8
Edwin Nunez,1009658,0.2,0.0,-0.4,1.1
Phil Ortega,1009855,-0.5,-1.9,1.0,2.8
Fernando Valenzuela,1013327,5.4,6.2,2.3,-0.2
Steve Avery,1706,2.5,2.5,2.4,-0.1
Rick Porcello,2717,2.9,3.0,1.7,5.1
Chuck Dobson,1003343,2.2,3.9,2.0,0.2
Paul Lindblad,1007614,0.8,0.3,0.2,0.2
Tom Murphy,1009376,0.0,0.6,0.8,1.5
Joey Hamilton,328,3.1,3.4,1.4,2.4
Hector Carrasco,1240,0.4,1.0,0.1,0.5
Russ Springer,1652,-0.3,0.1,-0.3,0.9
Lance Lynn,2520,0.5,2.6,3.3,3.6
Don Hood,1005994,0.7,0.2,-0.3,1.5
Dave Hamilton,1005271,0.9,0.3,1.0,1.3
Jim Perry,1010213,1.4,1.0,1.9,1.5
Pete Richert,1010922,0.1,2.8,2.4,2.5
Bill Simas,1011977,1.0,-0.2,0.0,0.4
Mario Soto,1012289,3.3,7.4,4.5,2.5
Carlos Zambrano,305,4.2,3.9,2.8,2.8
Tony Armas Jr.,761,1.2,0.5,-0.1,-0.4
Roy Halladay,1303,4.0,6.8,7.0,2.8
Aaron Harang,1451,1.2,1.0,1.8,4.6
Scott Erickson,137,1.9,3.3,2.2,3.4
Jeff Reardon,1010741,0.6,0.4,1.7,0.7
Bud Norris,9492,0.5,1.6,2.0,1.7
Bob Knepper,1007031,4.5,0.1,1.9,2.7
Denny McLain,1008603,7.2,7.0,0.0,0.1
Frank Wills,1014051,0.5,0.3,0.1,0.0
Brett Myers,962,3.4,3.5,1.2,1.8
Jeff Francis,4684,2.0,3.5,3.7,1.5
Gary Bell,1000806,1.7,0.2,0.6,-0.4
Francisco Cordova,1002623,1.7,3.2,3.4,2.4
Skip Lockwood,1007696,2.5,1.7,2.0,-0.2
Trevor Wilson,1014109,0.6,2.7,0.0,1.1
John Patterson,71,0.2,0.3,0.8,4.3
Chris Archer,6345,1.1,3.0,5.1,3.0
Ken Hill,1005827,1.0,2.1,3.2,2.6
Kevin Brown,642,3.1,2.4,1.5,6.3
Jered Weaver,4235,2.9,3.2,3.8,5.8
Justin Verlander,8700,3.7,3.2,8.5,6.6
Kirk McCaskill,1008382,2.2,5.6,0.3,2.6
Juan Pizarro,1010382,3.9,3.9,4.7,3.9
Doug Rau,1010717,0.4,2.3,4.8,1.9
Dan Plesac,1319,2.5,2.3,1.9,0.9
Brad Hennessey,3720,0.6,0.3,-0.2,0.1
Ernie Broglio,1001463,4.1,2.5,3.2,2.6
Vicente Padilla,964,3.6,2.7,1.3,0.6
Rob Dibble,1003269,1.1,3.7,4.3,3.4
Pete Harnisch,1005374,3.3,2.5,3.2,0.3
Cal Koonce,1007101,1.4,0.4,1.1,0.2
Eduardo Rodriguez,1011102,0.0,0.9,0.9,-0.6
Frank Tanana,1012818,2.8,1.3,3.5,1.2
Joe Kennedy,1217,0.6,2.8,1.0,0.8
Aaron Cook,1571,1.0,1.2,1.0,3.6
Clayton Richard,3551,0.7,1.5,2.2,0.6
John Buzhardt,1001788,0.9,1.1,1.9,2.6
Jack Baldschun,1000475,0.2,1.1,0.6,0.8
Seth Maness,12235,0.2,0.5,0.3,0.1
Bob Moose,1009134,5.2,3.1,0.3,0.5
Jake Peavy,1051,5.4,4.4,6.7,3.7
Floyd Bannister,1000516,2.3,4.2,1.8,4.9
Oil Can Boyd,1001279,3.6,4.6,2.4,0.1
Steve Comer,1002482,2.2,1.8,-0.3,0.5
Jose DeLeon,1003168,1.8,0.8,2.4,4.6
Rollie Fingers,1004051,1.0,1.5,2.4,3.3
Dave Goltz,1004818,1.4,2.4,4.0,3.3
Steve Rogers,1011138,4.4,4.2,4.8,7.0
Pete Vuckovich,1013461,2.2,4.3,3.0,2.5
Stan Williams,1014039,4.6,0.7,2.6,0.7
Jon Garland,232,1.9,3.5,3.6,3.5
Scott Karl,1006703,2.4,2.4,1.8,1.8
Art Mahaffey,1007979,2.6,0.5,-0.7,-0.4
Jaime Navarro,1009465,3.1,4.0,2.4,1.0
Pat Hentgen,145,2.2,3.5,2.5,6.0
Doug Drabek,1003473,2.7,2.4,2.5,4.2
Chuck Finley,384,0.7,2.4,3.8,4.8
Bob Apodaca,1000279,0.6,0.8,0.6,0.3
Mark Clear,1002330,2.1,-0.5,0.8,-0.6
Jack Fisher,1004090,0.1,1.5,2.4,2.0
Sandy Koufax,1007124,2.7,6.3,5.7,9.2
Mickey Lolich,1007712,5.1,2.2,4.6,3.2
John Curtis,1002905,3.3,2.2,1.4,0.2
David Aardsma,1902,-0.2,0.2,-0.1,2.1
Bryan Shaw,8110,0.0,1.0,0.5,0.2
Dave LaPoint,1007338,3.0,2.4,-0.1,1.1
Randy Lerch,1007551,2.3,0.5,1.0,0.3
Jason Johnson,147,0.2,1.0,-0.2,1.1
Bill Caudill,1002088,-0.1,3.2,0.2,2.0
Chuck Rainey,1010654,1.5,0.8,0.3,0.7
Tim Hudson,921,3.5,5.1,4.7,5.8
Ryan Rowland-Smith,3245,0.3,1.0,1.8,-1.5
Aaron Crow,10149,0.2,1.1,-0.2,-1.0
Bobby Ayala,1000384,2.2,0.8,0.6,0.5
Mark Portugal,1010460,-0.7,-0.7,1.6,1.7
Dave Roberts,1011031,-0.3,2.6,5.4,1.8
Cliff Lee,1636,0.7,1.1,3.8,2.3
Kerry Wood,304,3.9,3.6,4.2,2.9
Roy Oswalt,571,6.2,2.6,6.5,6.1
Pete Smith,1012191,0.8,0.2,1.3,0.0
Jorge De La Rosa,2047,0.3,-0.3,0.4,2.4
Kyle McClellan,4845,0.4,0.2,-0.2,-0.7
Tug McGraw,1008545,1.3,0.7,2.0,1.6
Nolan Ryan,1011348,0.6,5.4,8.7,6.8
Bob Howry,237,0.6,0.8,1.2,0.3
Willie Blair,1001033,0.8,-0.2,0.5,1.0
Dave Heaverlo,1005569,0.2,1.0,0.4,0.8
Tom Hume,1006179,0.1,2.2,2.6,1.4
Jimmy Anderson,977,1.8,2.3,-0.5,-0.2
Neil Allen,1000154,0.6,0.9,0.3,-0.4
Mike Caldwell,1001830,1.8,1.5,0.5,1.4
Bruce Kison,1006978,0.9,1.7,3.2,2.0
Sam McDowell,1008476,2.8,6.8,9.4,7.6
Luke Walker,1013525,0.6,1.9,2.7,2.1
Scott Bailes,1000430,0.9,0.2,-0.2,1.2
Ken Kravec,1007147,0.4,3.4,1.7,2.8
Jim Merritt,1008789,4.4,2.6,3.9,-0.5
Pete Mikkelsen,1008852,0.7,0.1,0.3,-0.9
Bret Saberhagen,1011355,5.5,7.5,2.9,4.4
Zane Smith,1012218,1.9,3.3,3.7,1.6
Brad Thompson,4911,0.3,-0.9,0.4,0.0
James Shields,7059,1.7,4.0,4.1,3.4
Jim Crawford,1002742,0.8,1.4,1.2,0.1
Mike LaCoss,1007240,1.3,-0.1,0.2,0.1
Frank Linzy,1007643,0.7,0.8,0.1,0.3
John Farrell,1003948,0.8,2.6,3.2,0.7
Steve Renko,1010835,0.1,1.4,1.0,-0.4
Ron Robinson,1011076,1.7,2.5,0.9,0.6
Frank Rodriguez,1011106,1.0,1.3,0.1,-0.4
Scott Sanderson,1011422,2.2,2.9,0.6,3.6
Kelvim Escobar,1298,1.9,2.7,0.5,3.4
Glen Hobbie,1005868,1.8,2.0,1.3,1.4
Mike Paul,1010082,1.4,0.6,0.5,3.3
Jose Santiago,972,-0.1,0.7,1.2,-0.3
Micah Owings,4253,1.7,1.0,-0.2,-0.1
Jack Morris,1009211,3.6,3.7,2.7,2.2
Dickie Noles,1009620,0.8,2.1,1.7,0.0
John O'Donoghue,1009732,0.6,1.8,0.6,1.7
Elias Sosa,1012284,-0.4,-0.1,1.1,0.6
Jeff Dedmon,1003132,0.3,-0.3,0.3,0.1
Pete Falcone,1003910,-0.8,0.8,1.0,1.2
Al McBean,1008337,3.6,1.5,0.7,0.5
Roger Moret,1009168,2.0,1.6,0.4,0.4
Tomo Ohka,788,1.0,1.2,3.2,3.0
Ricky Bones,1001161,0.5,2.3,1.1,-0.4
Lynn McGlothen,1008534,4.1,2.0,2.7,-0.3
Bill Pleis,1010393,0.3,0.2,-0.2,0.3
Bill Travers,1013161,0.3,0.7,0.3,0.4
Jose Mijares,4140,0.6,0.3,-0.4,0.8
Drew Storen,6983,0.7,0.2,1.0,1.2
Jonathan Sanchez,7507,0.1,2.7,1.8,2.1
Darren Oliver,206,0.7,2.3,1.0,1.4
Ray Culp,1002869,-0.5,0.4,3.8,4.1
Ken Ryan,1011345,0.7,1.1,0.0,1.0
Chris Perez,5213,1.1,0.5,1.1,-0.8
Scott Baker,6176,0.6,2.7,3.3,3.4
Sammy Ellis,1003753,3.7,1.3,0.7,-0.7
Tom Johnson,1006508,-0.4,1.2,1.5,0.1
Dick Pole,1010418,0.5,0.7,0.5,-0.3
Pedro Martinez,200,5.1,8.5,5.7,11.6
Esteban Yan,1236,-0.1,1.3,1.2,0.0
Kyle Davies,3642,1.5,0.4,1.7,0.6
Joe Kelly,9761,0.7,0.5,0.3,1.2
Rudy May,1008310,1.9,3.0,3.5,2.6
Horacio Ramirez,110,0.3,0.4,0.9,0.0
Rheal Cormier,952,1.5,3.0,1.2,0.4
Mike Wood,1806,0.7,-0.7,-0.3,-0.2
Justin Masterson,2038,1.7,2.7,5.1,2.8
Jim Hardin,1005344,2.8,0.5,2.6,0.1
B.J. Ryan,168,-0.2,0.3,0.1,1.6
Bobby Thigpen,1012958,0.9,-1.1,1.6,-1.2
Chris Bosio,1001212,3.7,3.0,5.5,1.4
Dick Bosman,1001215,0.9,4.2,4.1,1.0
Duane Ward,1013609,1.0,2.7,2.1,4.1
Don Wilson,1014071,4.4,2.1,5.0,4.4
Tyson Ross,7872,0.8,0.3,1.9,2.6
Bill Bonham,1001165,2.8,5.4,3.7,2.3
Mike Garman,1004539,0.8,-0.1,-0.3,-0.2
Horacio Pina,1010354,-0.2,0.1,0.1,0.0
Tom Underwood,1013281,2.0,2.7,2.7,1.3
Travis Wood,9884,1.1,0.4,3.0,1.4
Aroldis Chapman,10233,3.1,1.8,2.8,2.5
Moose Haas,1005172,4.0,1.9,3.6,2.9
Jim Nash,1009458,0.8,2.9,0.5,-0.4
Robinson Tejeda,2575,0.5,-0.1,0.4,1.2
David Price,3184,4.3,4.8,4.3,3.9
Luke Hochevar,6943,1.3,0.9,1.7,2.2
Buzz Capra,1001928,0.1,-0.3,4.2,0.7
Joe Coleman,1002428,7.1,3.9,4.4,1.5
John Denny,1003210,1.4,2.7,-0.2,1.9
Adrian Devine,1003243,1.1,1.5,0.7,-0.3
Renie Martin,1008194,-0.2,0.2,0.0,-1.0
Felix Rodriguez,1127,0.1,-0.2,0.5,1.7
Ken Clay,1002328,0.9,-0.5,-0.2,0.4
Phil Hennigan,1005658,-0.2,-0.9,0.1,-0.4
Bob Stoddard,1012555,0.7,0.9,0.2,0.0
Robb Nen,1123,1.0,1.0,2.8,0.6
Edward Mujica,3970,0.1,0.5,0.0,0.8
Kevin Slowey,9918,2.7,1.4,2.3,0.3
Bobby Parnell,9926,0.6,0.8,0.7,0.9
Sid Fernandez,1004001,1.9,3.3,3.2,3.2
Omar Olivares,1009771,1.5,-0.1,-0.5,0.0
Tyler Clippard,5640,0.1,1.2,1.5,1.2
John Lannan,7080,1.4,0.7,0.8,0.4
Len Barker,1000546,5.2,4.6,5.8,3.0
Steve Bedrosian,1000766,2.6,1.4,1.8,1.7
Aaron Sele,34,2.4,0.4,3.3,0.8
Brandon Morrow,9346,0.3,3.2,2.9,2.5
Chris Carpenter,1292,2.9,0.7,2.3,0.5
Ervin Santana,3200,0.8,5.3,0.8,2.1
Omar Daal,646,0.6,0.2,3.5,3.7
Clay Buchholz,3543,0.7,3.1,0.7,0.8
Jeff Russell,1011314,0.0,0.3,2.0,2.1
Albie Lopez,102,0.1,0.0,0.8,0.2
Kip Wells,1012,1.4,2.3,2.1,1.9
Luis Leal,1007431,2.1,3.4,2.7,2.3
Chris Nabholz,1009431,3.0,2.5,0.6,0.0
Jim O'Toole,1009897,5.6,4.6,4.8,5.9
Jim York,1014351,-0.1,-0.1,0.0,0.0
