Name,playerid,WAR38,WAR39
Mike Cuellar,1002853,3.3,-0.2
John Franco,874,0.9,0.6
Jerry Koosman,1007103,2.0,3.7
Curt Schilling,73,1.7,4.6
Tom Seaver,1011708,2.4,3.2
Ron Villone,1010,-0.2,-0.5
Jamie Moyer,1091,3.0,3.8
Koji Uehara,9227,3.1,1.1
Joe Niekro,1009582,3.1,2.0
Miguel Batista,46,0.1,-0.5
Dennis Eckersley,1003660,2.0,0.9
Gaylord Perry,1010210,5.2,5.9
Mike Stanton,849,0.3,1.2
Geoff Zahn,1014410,3.6,0.2
Jason Isringhausen,1158,-0.3,-0.3
John Smoltz,115,5.2,5.5
Mike Morgan,67,0.2,0.4
Takashi Saito,6021,1.6,0.3
Al Leiter,883,1.5,0.5
Grant Jackson,1006298,0.0,-0.9
Kent Tekulve,1012905,0.2,2.0
Lindy McDaniel,1008441,1.3,1.1
Woodie Fryman,1004381,1.1,0.5
Kenny Rogers,1277,2.5,3.2
Charlie Hough,1006050,1.8,3.7
Danny Darwin,1002996,0.8,-0.4
Todd Jones,436,1.0,0.7
Matt Herges,780,0.5,0.3
Ted Abernathy,1000020,0.1,0.3
David Wells,855,1.7,4.5
Rick Reuschel,1010852,5.0,3.9
Joe Nathan,1122,2.4,0.2
Bob Forsch,1004233,0.3,-0.6
Derek Lowe,199,1.4,1.3
Bob Gibson,1004662,1.3,-0.2
Hal Brown,1001520,1.8,-0.1
Luis Tiant,1013054,2.8,2.2
Bartolo Colon,375,2.3,2.6
Hiroki Kuroda,3283,3.3,3.1
Bert Blyleven,1001098,5.3,1.7
Orel Hershiser,1005741,1.4,1.3
Tom Glavine,90,2.6,3.7
Dennis Martinez,1008161,1.9,3.6
Tony Fossas,1004242,-0.2,-0.2
Jason Grilli,521,1.3,0.0
Greg Maddux,104,2.6,3.3
Jim Bunning,1001653,4.1,0.6
Mark Gardner,1004529,2.0,-0.3
LaTroy Hawkins,729,0.7,-0.1
Don McMahon,1008629,0.8,0.9
Mike Timlin,1187,0.7,1.8
Trevor Hoffman,1035,1.3,1.9
Gene Garber,1004493,2.0,0.7
Harvey Haddix,1005184,2.0,-0.7
Roy Face,1003891,0.3,0.2
Arthur Rhodes,1097,1.2,0.8
Robin Roberts,1011046,2.9,0.8
David Weathers,902,0.0,-0.7
Mike Mussina,837,2.6,3.6
Elmer Dessens,317,-0.2,-0.3
Tom Candiotti,1001911,1.1,0.2
Mike Remlinger,111,0.6,-0.1
Jesse Orosco,667,1.0,0.8
Rick Honeycutt,1005992,0.8,0.2
Steve Carlton,1001964,7.4,3.9
Jim Kaat,1006660,1.0,1.7
Stu Miller,1008935,1.2,0.3
Al Worthington,1014260,0.9,1.1
Brian Shouse,630,1.2,0.4
Mariano Rivera,844,3.0,2.0
Dick Hall,1005241,1.0,0.3
Tom Gordon,282,0.7,-0.2
R.A. Dickey,1245,1.9,1.7
Rudy Seanez,1279,0.5,0.2
Fergie Jenkins,1006388,0.3,2.9
Don Sutton,1012745,3.4,3.3
Jose Mesa,961,0.6,-0.3
Fernando Rodney,494,-0.8,0.4
Terry Mulholland,665,-0.1,-0.4
Larry Andersen,1000236,1.7,0.8
Tommy John,1006515,1.6,3.9
Greg Harris,1005415,-0.2,0.3
Jerry Reuss,1010853,0.9,2.3
Tom Burgmeier,1001668,1.4,1.4
Jamey Wright,715,0.5,0.3
Hoyt Wilhelm,1013945,1.7,1.7
Lew Burdette,1001662,0.4,0.6
Roger Clemens,815,5.6,4.3
Russ Springer,1652,1.4,0.6
Jim Perry,1010213,4.3,-0.2
Tim Wakefield,219,1.8,1.2
Chris Hammond,92,0.6,-0.2
Kevin Brown,642,6.1,2.3
Steve Reed,1053,-0.2,0.6
Dan Plesac,1319,0.4,1.2
Frank Tanana,1012818,0.5,1.3
Jeff Fassero,279,1.7,-0.1
Woody Williams,1190,1.1,1.2
Chuck Finley,384,2.1,4.4
Tim Hudson,921,1.6,0.1
Tug McGraw,1008545,0.2,0.5
Nolan Ryan,1011348,4.4,3.2
Doug Jones,1006552,0.5,1.0
Jack Morris,1009211,1.7,2.0
Darren Oliver,206,1.2,1.5
Rheal Cormier,952,-0.4,0.0
Ron Mahay,290,-0.4,0.0
Phil Niekro,1009583,5.9,8.6
Buddy Groom,143,0.4,-0.1
Randy Johnson,60,8.1,2.4
Art Fowler,1004268,1.2,0.3
Ron Reed,1010773,0.2,1.5
Roberto Hernandez,605,-1.1,-0.2
