Name,playerid,WAR28,WAR29,WAR30
Freddy Garcia,1077,4.0,3.1,0.2
Brandon Lyon,1312,0.7,0.8,1.1
Mike Cuellar,1002853,0.8,6.1,5.1
Dan Petry,1010246,0.1,0.3,-0.6
Mel Stottlemyre,1012579,3.1,4.4,2.4
Brian Anderson,44,2.0,0.3,1.6
Jim Brower,313,0.4,0.3,0.6
Chad Qualls,2170,0.8,1.8,0.9
Tom Griffin,1005054,0.0,-0.6,-0.5
Ricky Horton,1006036,0.3,0.5,-0.2
Octavio Dotel,555,2.8,1.7,1.6
Jason Schmidt,1131,3.0,4.5,6.6
Bryce Florie,1004172,1.4,1.0,0.3
Steve Stone,1012573,0.9,1.7,2.2
Todd Coffey,2467,0.8,-0.1,0.3
Jerry Augustine,1000365,0.3,-1.0,-0.4
Storm Davis,1003080,1.4,0.1,0.8
Andy McGaffigan,1008497,2.7,1.9,2.0
Vern Ruhle,1011297,0.4,2.2,1.2
Bobby Jones,1039,1.8,1.3,1.0
Victor Santos,446,0.6,0.9,-0.8
John Franco,874,1.3,1.3,1.3
Turk Wendell,975,-0.4,0.3,-0.2
Matt Albers,4300,0.1,-0.5,0.3
Doug Bair,1000439,2.0,0.6,0.1
Charlie Leibrandt,1007492,4.1,3.7,4.4
Orlando Pena,1010150,1.8,3.4,1.3
Keith Atherton,1000348,0.2,-0.2,-0.6
Francisco Cordero,1243,2.1,2.7,1.4
Joey Jay,1006373,3.4,0.7,0.6
Jerry Koosman,1007103,2.2,2.9,4.4
Curt Schilling,73,2.8,4.7,8.2
Kent Mercker,439,-0.3,0.9,2.3
Tyler Yates,1527,-0.1,0.5,0.4
Daisuke Matsuzaka,7775,0.3,2.1,0.2
Scott Bankhead,1000510,0.5,0.1,0.2
Wally Whitehurst,1013896,1.3,1.2,0.6
George Kontos,9486,-0.3,0.3,-0.2
Sergio Romo,9817,2.0,1.0,1.0
Jose Bautista,1000694,0.9,0.0,-1.6
Al Hrabosky,1006116,0.8,0.3,-0.7
Claude Osteen,1009878,1.9,5.5,3.1
Tom Seaver,1011708,7.3,5.1,7.8
Mike Stanton,1012421,0.3,1.8,1.1
Jae Seo,895,1.9,0.0,-0.2
Don Carman,1001967,1.2,-1.3,-0.9
Jim Coates,1002374,0.7,0.8,0.0
Jim Kern,1006868,2.4,2.0,4.7
Bob Shaw,1011819,2.2,3.3,1.7
Sidney Ponson,161,1.0,0.5,-0.2
Jim Clancy,1002255,1.8,1.6,3.1
Ron Guidry,1005124,6.2,3.9,2.8
Jack Kralick,1007135,3.8,3.0,0.6
Paul Reuschel,1010851,0.3,-0.3,0.7
Mike Magnante,929,0.4,0.2,0.1
Tony Watson,3132,0.6,1.3,1.3
Ugueth Urbina,216,1.3,1.3,0.1
Brad Ziegler,7293,0.5,1.1,0.1
Craig Lefferts,1007476,0.8,-0.2,0.6
Al Fitzmorris,1004119,2.3,2.6,3.7
Danny Jackson,1006295,1.7,-0.5,2.8
Mike Proly,1010545,0.5,0.9,-0.3
Scott Sanders,1011423,0.1,0.2,-0.1
Mark Williamson,1014022,0.6,1.6,0.7
Miguel Batista,46,2.0,-0.9,1.3
Terry Adams,946,4.3,1.9,1.5
Dennis Eckersley,1003660,0.8,3.2,4.3
Gaylord Perry,1010210,5.6,5.5,5.9
Rick Wise,1014155,1.0,2.7,3.1
Mike Stanton,849,-0.1,0.7,1.4
Charlie Morton,4676,0.4,1.4,1.3
Tom Gorzelanny,6244,0.7,0.1,0.5
Jim Bouton,1001241,-0.2,0.0,0.6
Kelly Downs,1003453,0.9,1.0,-0.4
Todd Frohwirth,1004374,2.6,1.1,0.3
Al Jackson,1006288,2.0,2.3,2.9
