Name,playerid,WAR42,WAR43
John Franco,874,-0.3,-0.1
Jamie Moyer,1091,2.5,1.9
Dennis Eckersley,1003660,0.3,0.0
Gaylord Perry,1010210,2.8,3.3
Kenny Rogers,1277,0.4,0.9
Charlie Hough,1006050,0.2,0.8
Warren Spahn,1012299,2.5,-0.3
David Wells,855,3.0,0.9
Bartolo Colon,375,2.4,2.4
Dennis Martinez,1008161,-0.4,1.1
Early Wynn,1014309,2.5,1.1
Don McMahon,1008629,-0.1,0.6
Jim Kaat,1006660,-0.1,-0.1
Don Sutton,1012745,1.1,0.5
Tommy John,1006515,0.6,0.9
Hoyt Wilhelm,1013945,1.4,0.9
Roger Clemens,815,6.0,3.4
Tim Wakefield,219,1.8,1.2
Nolan Ryan,1011348,7.0,5.2
Doug Jones,1006552,1.4,1.1
Phil Niekro,1009583,2.0,3.0
Randy Johnson,60,3.2,1.6
