Name,playerid,WAR37,WAR38
Mike Cuellar,1002853,3.3,3.3
Octavio Dotel,555,0.8,1.6
John Franco,874,0.9,0.9
Jerry Koosman,1007103,3.8,2.0
Curt Schilling,73,6.5,1.7
Tom Seaver,1011708,0.3,2.4
Ron Villone,1010,-0.1,-0.2
Jamie Moyer,1091,1.8,3.0
Koji Uehara,9227,0.8,3.1
Whitey Ford,1004227,0.5,0.8
Joe Niekro,1009582,4.2,3.1
Miguel Batista,46,-1.3,0.1
Hank Aguirre,1000087,0.2,0.4
Dennis Eckersley,1003660,3.1,2.0
Gaylord Perry,1010210,5.1,5.2
Mike Stanton,849,0.6,0.3
Geoff Zahn,1014410,2.5,3.6
Jon Lieber,287,1.4,-0.1
Bob Patterson,1010055,0.6,0.8
Terry Leach,1007427,0.9,0.5
John Smoltz,115,2.1,5.2
Mike Morgan,67,2.6,0.2
Takashi Saito,6021,2.0,1.6
Al Leiter,883,2.4,1.5
Doyle Alexander,1000122,2.6,0.9
Grant Jackson,1006298,0.6,0.0
Troy Percival,29,0.7,-0.7
Kent Tekulve,1012905,0.2,0.2
Lindy McDaniel,1008441,1.6,1.3
Woodie Fryman,1004381,-0.3,1.1
Kenny Rogers,1277,2.7,2.5
Charlie Hough,1006050,3.6,1.8
Curt Simmons,1011980,0.6,0.5
Danny Darwin,1002996,2.9,0.8
Todd Jones,436,2.4,1.0
Matt Herges,780,0.4,0.5
Ramon Ortiz,27,-0.3,-0.2
A.J. Burnett,512,1.8,2.6
Ted Abernathy,1000020,0.3,0.1
Mike Myers,68,0.2,-0.2
Andy Pettitte,840,3.4,2.7
David Wells,855,6.2,1.7
Rick Reuschel,1010852,2.8,5.0
Joe Nathan,1122,1.7,2.4
Bob Forsch,1004233,2.5,0.3
Dave Stewart,1012519,0.8,0.7
Derek Lowe,199,1.8,1.4
Dennis Lamp,1007284,0.3,0.4
Mike Marshall,1008144,0.1,0.0
Bob Gibson,1004662,4.5,1.3
Hal Brown,1001520,-0.1,1.8
Randy Choate,813,0.5,0.2
Turk Lown,1007793,-0.2,0.6
David Cone,1680,1.0,1.4
Luis Tiant,1013054,2.4,2.8
Bud Black,1001007,0.1,0.5
Lee Smith,1012175,1.0,0.3
Hiroki Kuroda,3283,3.3,3.3
Bert Blyleven,1001098,3.2,5.3
Orel Hershiser,1005741,3.8,1.4
Tom Glavine,90,1.3,2.6
Dennis Martinez,1008161,3.8,1.9
Tony Fossas,1004242,1.0,-0.2
Eddie Guardado,727,0.7,-0.5
Jason Grilli,521,0.3,1.3
Matt Thornton,1918,0.6,0.4
Ryan Vogelsong,1011,0.0,0.1
Greg Maddux,104,3.6,2.6
Jim Bunning,1001653,3.8,4.1
Mark Gardner,1004529,-0.2,2.0
Sonny Siebert,1011951,1.6,1.0
Don McMahon,1008629,0.3,0.8
Mike Timlin,1187,1.0,0.7
Rick Aguilera,1000086,0.8,-0.7
Bobby Shantz,1011804,1.3,0.3
Scott Downs,773,0.5,-0.1
Trevor Hoffman,1035,1.7,1.3
Gene Garber,1004493,0.8,2.0
Harvey Haddix,1005184,0.6,2.0
Joaquin Benoit,1437,0.2,0.5
Bob Wickman,413,1.6,0.3
Mark Langston,1007323,0.1,0.3
Robin Roberts,1011046,2.9,2.9
Scott Atchison,2642,0.1,0.8
David Weathers,902,1.3,0.0
Rick Sutcliffe,1012734,0.5,-0.4
Mike Mussina,837,5.2,2.6
Alan Embree,1030,1.1,0.0
Tom Candiotti,1001911,2.7,1.1
Mike Remlinger,111,0.1,0.6
Jesse Orosco,667,0.1,1.0
Rick Honeycutt,1005992,0.0,0.8
Tim Belcher,1000789,0.1,-0.1
Steve Carlton,1001964,8.2,7.4
Jim Kaat,1006660,2.9,1.0
Doug Brocail,551,0.8,1.1
Stu Miller,1008935,2.3,1.2
Al Worthington,1014260,1.8,0.9
Paul Byrd,594,0.7,0.3
Brian Shouse,630,-0.2,1.2
Mariano Rivera,844,2.0,3.0
Dick Hall,1005241,-0.1,1.0
Tom Gordon,282,0.9,0.7
R.A. Dickey,1245,4.6,1.9
Joel Peralta,2332,0.4,0.5
Rudy Seanez,1279,-0.2,0.5
Fergie Jenkins,1006388,2.7,0.3
Don Sutton,1012745,4.6,3.4
Jose Mesa,961,-0.1,0.6
Fernando Rodney,494,1.0,-0.8
Terry Mulholland,665,1.1,-0.1
Larry Andersen,1000236,2.7,1.7
Tommy John,1006515,4.7,1.6
Greg Harris,1005415,1.2,-0.2
Jerry Reuss,1010853,-0.4,0.9
John Burkett,179,1.8,2.7
Tom Burgmeier,1001668,0.4,1.4
Paul Assenmacher,1000344,0.6,-0.1
Jamey Wright,715,0.6,0.5
Hoyt Wilhelm,1013945,2.6,1.7
Lew Burdette,1001662,0.8,0.4
Roger Clemens,815,3.6,5.6
Russ Springer,1652,0.1,1.4
Jim Perry,1010213,1.9,4.3
Dennis Cook,8,-0.1,-0.1
Tim Wakefield,219,1.4,1.8
Johnny Klippstein,1007013,0.2,0.2
Chris Hammond,92,1.3,0.6
Brian Moehler,480,1.1,0.1
Kevin Brown,642,0.5,6.1
Steve Reed,1053,1.1,-0.2
Dan Plesac,1319,0.6,0.4
Barney Schultz,1011625,0.9,0.0
Frank Tanana,1012818,1.9,0.5
Jeff Fassero,279,1.8,1.7
Woody Williams,1190,2.9,1.1
Rollie Fingers,1004051,0.7,-0.7
Rick White,456,0.1,-0.2
Chuck Finley,384,4.4,2.1
Tim Byrdak,1995,0.6,0.1
Mickey Lolich,1007712,0.4,-0.1
Tim Hudson,921,1.6,1.6
Tug McGraw,1008545,0.3,0.2
Nolan Ryan,1011348,4.0,4.4
Jose Contreras,1660,2.1,0.7
Jack Sanford,1011432,0.2,0.2
Doug Jones,1006552,1.6,0.5
Steve Renko,1010835,2.1,1.6
Scott Sanderson,1011422,0.2,0.7
Jack Morris,1009211,3.7,1.7
Aurelio Lopez,1007753,0.1,-0.4
Jay Howell,1006098,0.7,-0.7
Darren Oliver,206,0.9,1.2
Rheal Cormier,952,0.4,-0.4
Ron Mahay,290,0.4,-0.4
Steve Sparks,499,0.0,0.6
Joe Beimel,979,-0.2,-0.8
Phil Niekro,1009583,4.3,5.9
Buddy Groom,143,0.0,0.4
Ted Power,1010504,0.5,0.5
Randy Johnson,60,10.4,8.1
Rich Rodriguez,1276,-0.3,0.5
Ron Reed,1010773,0.9,0.2
Roberto Hernandez,605,0.6,-1.1
